epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,312.788,2.15095,4.34192,1.23285,0.03022,0.19038,0.05041,0.02975,2.00811,4.13016,1.06388,0.000193118,0.000193118,0.000193118
2,501.501,2.17127,3.63618,1.12062,0.57378,0.08199,0.08297,0.04663,2.06496,3.17089,1.0695,0.000387192,0.000387192,0.000387192
3,614.048,2.14368,2.96924,1.09656,0.63837,0.13149,0.11642,0.06533,2.00585,2.44307,1.06922,0.000579325,0.000579325,0.000579325
4,871.681,2.08526,2.52305,1.08605,0.58498,0.14967,0.10904,0.0625,1.95647,2.06849,1.06695,0.000579268,0.000579268,0.000579268
5,967.471,2.03691,2.25625,1.06577,0.54008,0.17733,0.13567,0.08038,1.90475,1.91571,1.06476,0.000576358,0.000576358,0.000576358
6,1282.96,1.98525,2.06036,1.05599,0.58087,0.2037,0.17841,0.10812,1.85694,1.81742,1.05175,0.000573447,0.000573447,0.000573447
7,1441.56,1.94622,1.95102,1.04525,0.51117,0.23214,0.18733,0.11839,1.83809,1.73602,1.03526,0.000570536,0.000570536,0.000570536
8,1581.51,1.91194,1.89534,1.04331,0.56003,0.2619,0.2289,0.14313,1.8352,1.69069,1.041,0.000567626,0.000567626,0.000567626
9,1884.24,1.90338,1.81472,1.04025,0.53564,0.2927,0.24182,0.1522,1.7899,1.62695,1.03428,0.000564715,0.000564715,0.000564715
10,2076.12,1.85975,1.80137,1.03492,0.6104,0.28883,0.25698,0.16457,1.75642,1.66491,1.02706,0.000561805,0.000561805,0.000561805
11,2244.82,1.85086,1.73502,1.03343,0.49225,0.29574,0.2736,0.16994,1.74765,1.61251,1.01855,0.000558894,0.000558894,0.000558894
12,2404.25,1.81874,1.69652,1.01922,0.55591,0.32092,0.30543,0.1968,1.71995,1.50629,1.0104,0.000555983,0.000555983,0.000555983
13,2536.79,1.8285,1.6602,1.03046,0.57957,0.31486,0.32493,0.2048,1.74516,1.49391,1.026,0.000553073,0.000553073,0.000553073
14,2668.86,1.80501,1.62876,1.0161,0.63266,0.29341,0.32118,0.20929,1.7001,1.50652,1.00933,0.000550162,0.000550162,0.000550162
15,2828.69,1.80385,1.63131,1.01365,0.67507,0.32058,0.3451,0.22038,1.74819,1.54662,1.02069,0.000547252,0.000547252,0.000547252
16,2877.53,1.76285,1.5685,1.00682,0.69277,0.33705,0.38008,0.25245,1.69385,1.45385,1.01006,0.000544341,0.000544341,0.000544341
17,3084.51,1.74519,1.53361,1.00733,0.72418,0.33921,0.3836,0.24807,1.71366,1.43401,1.01359,0.00054143,0.00054143,0.00054143
18,3217.16,1.75161,1.5312,1.0043,0.72415,0.37298,0.40949,0.26756,1.67398,1.39008,1.00425,0.00053852,0.00053852,0.00053852
19,3386.95,1.76752,1.48961,1.00668,0.48714,0.39452,0.41268,0.26814,1.68039,1.37797,1.00047,0.000535609,0.000535609,0.000535609
20,3485.9,1.737,1.46017,1.00067,0.57284,0.35776,0.41287,0.27662,1.64761,1.3818,1.00045,0.000532699,0.000532699,0.000532699
21,3639.35,1.71344,1.46642,0.99624,0.52083,0.40906,0.43961,0.29618,1.64977,1.31628,0.99891,0.000529788,0.000529788,0.000529788
22,3731.78,1.71525,1.41752,0.99481,0.51769,0.46264,0.46572,0.31014,1.63587,1.30019,0.99482,0.000526877,0.000526877,0.000526877
